"Name"	"Description"	"Formula"	"Sensitivity"	"Reference"
"1"	"ARI"	"Anthocyanin Reflectance Index"	"1 / R550 - 1 / R700"	"Carotenoid content"	"Gitelson et al. (2002)"
"2"	"BGI"	"Blue Green Pigment Index"	"R450 / R550"	"Dry Matter / Pigment"	"Zarco-Tejada et al. (2005)"
"3"	"BRI"	"Blue Red Pigment Index"	"R450 / R690"	"Dry Matter / Pigment"	"Zarco-Tejada et al. (2005)"
"4"	"CAI"	"Cellulose Absorption Index"	"0.5*(R2015 + R2195) - R2106"	"Dry Matter / Cellulose Absorption"	"Nagler et al. (2003)"
"5"	"CI"	"Curvative Index"	"(R675 * R690) / R683 ^ 2"	""	"Zarco-Tejada et al. (2003)"
"6"	"CI2"	""	"R760 / R700 - 1"	""	"Gitelson et al. (2003)"
"7"	"CRI"	"Carotenoid Reflectance"	"1 / R510 - 1 / R550"	"Carotenoid content"	"Gitelson et al. (2002)"
"8"	"CRI1"	""	"1/R515 - 1/R550"	""	"Gitelson et al. (2003)"
"9"	"CRI2"	"Carotenoid Reflectance"	"1 / R510 - 1 / R700"	"Carotenoid content"	"Gitelson et al. (2002)"
"10"	"CRI2"	""	"1/R515 - 1/R770"	""	"Gitelson et al. (2003)"
"11"	"CRI3"	""	"(1/R515 - 1/R550) * R770"	""	"Gitelson et al. (2003)"
"12"	"CRI4"	""	"(1/R515 - 1/R700) * R770"	""	"Gitelson et al. (2003)"
"13"	"CSI"	"Carter Stress Index"	"R695 / R420"	"Chlorophyll"	"Carter (1994)"
"14"	"CSI2"	"Carter Stress Index"	"R695 / R760"	"Chlorophyll"	"Carter (1994)"
"15"	"CSI3"	"Carter Stress Index"	"R605 / R760"	""	"Carter (1994)"
"16"	"CSI4"	"Carter Stress Index"	"R710 / R760"	""	"Carter (1994)"
"17"	"CSI5"	"Carter Stress Index"	"R550"	""	"Carter (1994)"
"18"	"CUR"	"Curvature Index"	"R675 * R550 / R2683"	"Flourescence"	"Zarco-Tejada et al. (2000)"
"19"	"Datt"	""	"(R850 - R710)/(R850 - R680)"	""	"Datt (1999b)"
"20"	"Datt2"	""	"R850 / R710"	""	"Datt (1999b)"
"21"	"Datt4"	""	"R672/(R550 * R708)"	""	"Datt (1999b)"
"22"	"Datt5"	""	"R672 / R550"	""	"Datt (1999b)"
"23"	"Datt6"	""	"R860 / (R550 * R708)"	""	"Datt (1999b)"
"24"	"Datt7"	""	"(R860 - R2218) / (R860 - R1928)"	""	"Datt (1999b)"
"25"	"Datt8"	""	"(R860 - R1788) / (R860 - R1928)"	""	"Datt (1999b)"
"26"	"DD"	""	"(R749 - R720) - (R701 - R672)"	""	"le Maire et al. (2004)"
"27"	"DDn"	""	"2 * (R710 - R660 - R760)"	""	"le Maire et al. (2004)"
"28"	"DSWI"	"Desease Water Stress Index"	"(R802 - R547) / (R1657 + R682)"	"Water Content"	"Galvão et al. (2005)"
"29"	"DWSI1"	"Desease Water Stress Index"	"R800 / R1660"	"Water Content"	"Apan et al. (2004)"
"30"	"DWSI2"	"Desease Water Stress Index"	"R1660 / R550"	"Water Content"	"Apan et al. (2004)"
"31"	"DWSI3"	"Desease Water Stress Index"	"R1660 / R680"	"Water Content"	"Apan et al. (2004)"
"32"	"DWSI4"	"Desease Water Stress Index"	"R550 / R680"	"Water Content"	"Apan et al. (2004)"
"33"	"DWSI5"	"Desease Water Stress Index"	"(R800 + R550) / (R1660 + R680)"	"Water Content"	"Apan et al. (2004)"
"34"	"EVI"	""	"2.5 * ((R800 - R670)/  (R800 - (6 * R670) - (7.5 * R475) + 1))"	""	"Huete et al. (1997)"
"35"	"EVI2"	""	" 2.4 * (R800 - R670) / (R800 + R670 + 1)"	""	"Jiang (2008)"
"36"	"GI"	"Greenness Index"	"R554 / R677"	"Chlorophyll"	"Zarco-Tejada et al. (2005)"
"37"	"Gitelson"	""	"1 / R700"	""	"Gitelson et al. (1999)"
"38"	"Gitelson2"	""	"(R750 - R800/R695 - R740) - 1"	""	"Gitelson et al. (2003)"
"39"	"GM3"	""	"R752 / R690"	""	"Gitelson and Merzlyak (1997)"
"40"	"GMI1"	"Gitelson & Merzlyak Index"	"R750 / R550"	"Chlorophyll"	"Gitelson and Merzlyak (1997)"
"41"	"GMI2"	"Gitelson & Merzlyak Index"	"R750 / R700"	"Chlorophyll"	"Gitelson and Merzlyak (1997)"
"42"	"gNDVI"	"Green NDVI"	"(R750 - R550) / (R750 + R550)"	"Chlorophyll"	"Datt (1998)"
"43"	"hNDVI"	"hyperspectral NDVI"	"(R827 - R668) / (R827 + R668)"	"Structure"	"Oppelt (2002)"
"44"	"LCI"	"Leaf Chlorophyll Index"	"(R850 - R710) / (R850 + R680)"	"Chlorphyll content"	"Datt (1999)"
"45"	"LIC1"	"Lichtenthaler Index"	"(R800 - R680) / (R800 + R680)"	"Flourescence"	"Lichtenthaler et al. (1996)"
"46"	"LIC2"	"Lichtenthaler Index"	"R440 / R690"	"Flourescence"	"Lichtenthaler et al. (1996)"
"47"	"LIC3"	"Lichtenthaler Index"	"R440 / R740"	"Flourescence"	"Lichtenthaler et al. (1996)"
"48"	"LWVI1"	"Leaf Water Vegetation Index"	"(R1094 - R983) / (R1094 + R983)"	"Water Content"	"Galvão et al. (2005)"
"49"	"LWVI2"	"Leaf Water Vegetation Index "	"(R1094 - R1205) / (R1094 + R1205)"	"Water Content"	"Galvão et al. (2005"
"50"	"Maccioni"	""	"(R780 - R710)/(R780 - R680)"	""	"Maccioni et al. (2001)"
"51"	"MCARI"	"Modified Chlorophyll Absorption in Reflectance Index"	"((R700-R670) - 0.2*(R700 - R550))*(R700 / R670)"	"Chlorophyll"	"Daughtry et al. (2000)"
"52"	"MCARI705"	""	"((R750 - R705) - 0.2 * (R750 -R550)) * (R750/R705)"	""	"Wu et al. (2008)"
"53"	"MCARI/OSAVI"	""	"(((R700-R670) - 0.2*(R700 - R550))*(R700 / R670)) / ((1 + 0.16) * (R800 - R670) / (R800 + R670 + 0.16))"	""	"Daughtry et al. (2000)"
"54"	"MCARI1"	"Modified Chlorophyll Absorption in Reflectance Index"	"MCARI1=1.2*(2.5*(R800-R670)-1.3*(R800-R550))"	"Structure"	"Haboudane et al. (2004)"
"55"	"MCARI2"	"Modified Chlorophyll Absorption in Reflectance Index"	"MCARI1=1.5*(2.5*(R800-R670)-1.3*(R800-R550)) / ((2*R800+1) ^2-(6*R800-5*R680^0.5)-0.5) ^ 0.5"	"Structure"	"Haboudane et al. (2004)"
"56"	"MCARI2/OSAVI2"	""	"(((R700-R670) - 0.2*(R700 - R550))*(R700 / R670)) / ((1 + 0.16) * (R750 - R705) / (R750 + R705 + 0.16))"	""	"Wu et al. (2008)"
"57"	"MLO"	"M Locherer Chlorophyll"	"R531 / R645"	"Chlorophyll"	"unpublished"
"58"	"mND705"	""	"(R750 - R705) / (R750 + R705 - 2 * R445)"	""	"Sims and Gamon (2002)"
"59"	"mNDVI"	""	"(R800 - R680) / (R800 + R680 - 2 * R445)"	""	"Sims and Gamon (2002)"
"60"	"MPRI"	""	"(R515 - R530)/(R515 + R530)"	""	""
"61"	"MSAVI"	""	"0.5 * (2 * R800 + 1) - ((2 * R800 + 1) ^2 - 8 * (R800 - R670)) ^ 0.5"	""	"Qi et al. (1994)"
"62"	"MSI"	"Moisture Stress Index"	"R1600/R817"	"Water Content"	"Hunt et al. (1989)"
"63"	"mSR"	""	"(R800 - R445) / (R680 - R445)"	""	"Sims and Gamon (2002)"
"64"	"mSR2"	""	"(R750 / R705) - (1 / (R750 / R705 + 1) ^ 0.5)"	""	"Chen (1996)"
"65"	"mSR705"	""	"(R750 - R445) / (R705 - R445)"	""	"Sims and Gamon (2002)"
"66"	"MTCI"	""	"(R754 - R709) / (R709 - R681)"	""	""
"67"	"MTVI"	"Modified Triangular Vegetation Index"	"1.2 * (1.2 * (R800 - R550) - 2.5 * (R670 - R550))"	"Structure"	"Haboudane et al. (2004)"
"68"	"MTVI2"	"Modified Triangular Vegetation Index"	"1.5*(1.2*(R800-R550)-2.5*(R670-R550)) / ((2*R800+1) ^2 - (6*R800 - 5*(R670 ^ 0.5)) -0.5) ^ 0.5"	"Structure"	"Haboudane et al. (2004)"
"69"	"NDLI"	"Normalized Difference Lignin Index"	"(log(1/R1754) - log(1/R1680))/  (log(1/R1754) + log(1/R1680))"	"Dry Matter / Lignin"	"Serrano et al. (2002)"
"70"	"NDNI"	"Normalized Difference Nitrogen Index"	"(log(1/R1510) - log(1/R1680)) / (log(1/R1510) + log(1/R1680))"	"Dry Matter / Nitrogen"	"Serrano et al. (2002)"
"71"	"NDVI"	"Normalized Difference Vegetation Index"	"(R800 - R680) / (R800 + R680)"	"Structure"	"Datt (1998)"
"72"	"NDVI_zarco"	"Normalized Difference Vegetation Index"	"(R774 -R677) / (R774 + R677)"	"Structure"	"Zarco-Tejada (1999)"
"73"	"NDVI_apar"	"Normalized Difference Vegetation Index"	"(R900 - R680) / (R900 + R680)"	"Structure"	"Aparicio et al. (2002)"
"74"	"NDVI_gandia"	""	"(R682 - R553) / (R682 + R553)"	""	"Gandia et al. (2004)"
"75"	"NDVI_git"	""	"(R750 - R705) /(R750 + R705)"	""	"Gitelson and Merzlyak (1994)"
"76"	"NDVI_green2"	""	"(R800 - R550) / (R800 + R550)"	""	"Gitelson et al. (2003)"
